Time,Price,Side
02/23/23 22:08:36,1643.13,Short
02/23/23 22:09:32,1642.4,Short
02/23/23 22:10:27,1643.1,Short
02/23/23 22:11:38,1641.64,Short
02/23/23 22:12:36,1640.39,Short
02/23/23 22:13:31,1639.78,Short
02/23/23 22:14:30,1638.02,Short
02/23/23 22:15:27,1638.17,Short
02/23/23 22:16:22,1640.11,Short
02/23/23 22:17:35,1641.13,Short
02/23/23 22:18:29,1641.75,Short
02/23/23 22:19:25,1641.0,Short
02/23/23 22:20:36,1640.55,Short
02/23/23 22:21:30,1642.37,Short
02/23/23 22:22:26,1643.07,Short
02/23/23 22:23:37,1643.49,Short
02/23/23 22:24:35,1643.82,Short
02/23/23 22:25:30,1644.94,Short
02/23/23 22:26:28,1644.33,Short
02/23/23 22:27:26,1643.99,Short
02/23/23 22:28:38,1644.33,Short
02/23/23 22:29:33,1643.49,Short
02/23/23 22:30:27,1643.35,Short
02/23/23 22:31:22,1642.44,Short
02/23/23 22:32:33,1643.06,Short
02/23/23 22:33:28,1643.25,Short
02/23/23 22:34:22,1643.29,Short
02/23/23 22:35:41,1642.65,Short
02/23/23 22:36:37,1643.31,Short
02/23/23 22:37:34,1641.96,Short
02/23/23 22:38:27,1641.89,Short
02/23/23 22:39:22,1641.84,Short
02/23/23 22:40:32,1641.53,Short
02/23/23 22:41:27,1643.62,Short
02/23/23 22:42:21,1641.47,Short
02/23/23 22:43:30,1643.18,Short
02/23/23 22:44:25,1643.29,Short
02/23/23 22:45:37,1643.87,Short
02/23/23 22:46:34,1642.35,Short
02/23/23 22:47:28,1643.57,Short
02/23/23 22:48:25,1643.82,Short
02/23/23 22:49:35,1642.73,Short
02/23/23 22:50:30,1643.01,Short
02/23/23 22:51:26,1645.22,Short
02/23/23 22:52:37,1645.7,Short
02/23/23 22:53:34,1645.87,Short
02/23/23 22:54:28,1647.26,Short
02/23/23 22:55:22,1646.41,Short
02/23/23 22:56:32,1645.66,Short
02/23/23 22:57:29,1646.62,Short
02/23/23 22:58:25,1645.8,Short
02/23/23 22:59:37,1646.49,Short
02/23/23 23:04:36,1647.6,Short
02/23/23 23:05:31,1647.64,Short
02/23/23 23:06:27,1648.81,Short
02/23/23 23:07:23,1648.93,Short
02/23/23 23:08:37,1648.54,Short
02/23/23 23:09:34,1649.12,Short
02/23/23 23:10:28,1648.55,Short
02/23/23 23:11:26,1647.85,Short
02/23/23 23:12:36,1646.0,Short
02/23/23 23:13:34,1647.29,Short
02/23/23 23:14:28,1646.0,Short
02/23/23 23:15:22,1645.73,Short
02/23/23 23:16:32,1645.4,Short
02/23/23 23:17:28,1645.27,Short
02/23/23 23:18:26,1644.81,Short
02/23/23 23:19:23,1644.56,Short
02/23/23 23:20:35,1644.08,Short
02/23/23 23:21:29,1645.97,Short
02/23/23 23:22:26,1645.22,Short
02/23/23 23:23:37,1645.44,Short
02/23/23 23:24:30,1645.99,Short
02/23/23 23:25:26,1645.91,Short
02/23/23 23:26:38,1646.84,Short
02/23/23 23:27:33,1647.16,Short
02/23/23 23:28:31,1646.78,Short
02/23/23 23:29:29,1647.03,Short
02/23/23 23:30:26,1647.59,Short
02/23/23 23:31:38,1647.48,Short
02/23/23 23:32:34,1648.34,Short
02/23/23 23:33:28,1648.26,Short
02/23/23 23:34:24,1647.17,Short
02/23/23 23:35:36,1647.04,Short
02/23/23 23:36:29,1646.92,Short
02/23/23 23:37:24,1647.72,Short
02/23/23 23:38:35,1647.84,Short
02/23/23 23:39:30,1648.5,Short
02/23/23 23:40:26,1648.92,Short
02/23/23 23:41:38,1648.24,Short
02/23/23 23:42:35,1647.71,Short
02/23/23 23:43:31,1647.54,Short
02/23/23 23:44:27,1647.21,Short
02/23/23 23:45:22,1647.11,Short
02/23/23 23:46:33,1646.9,Short
02/23/23 23:47:28,1647.65,Short
02/23/23 23:48:22,1649.75,Short
02/23/23 23:49:32,1649.53,Short
02/23/23 23:50:28,1649.38,Short
02/23/23 23:51:22,1649.34,Short
02/23/23 23:52:35,1650.54,Short
02/23/23 23:53:31,1650.69,Short
02/23/23 23:54:28,1650.38,Short
02/23/23 23:55:23,1649.7,Short
02/23/23 23:56:37,1649.1,Short
02/23/23 23:57:35,1649.2,Short
02/23/23 23:58:31,1649.61,Short
02/23/23 23:59:26,1649.41,Short
02/24/23 00:03:39,1647.64,Short
02/24/23 00:04:36,1651.51,Short
02/24/23 00:05:32,1650.67,Short
02/24/23 00:06:29,1651.56,Short
02/24/23 00:07:25,1650.7,Short
02/24/23 00:08:37,1652.94,Short
02/24/23 00:09:33,1652.57,Short
02/24/23 00:10:26,1652.91,Short
02/24/23 00:11:38,1653.76,Short
02/24/23 00:12:32,1654.16,Short
02/24/23 00:13:27,1652.88,Short
02/24/23 00:14:23,1651.57,Short
02/24/23 00:15:35,1651.3,Short
02/24/23 00:16:33,1651.5,Short
02/24/23 00:17:30,1651.83,Short
02/24/23 00:18:26,1650.9,Short
02/24/23 00:19:22,1654.68,Short
02/24/23 00:20:32,1656.26,Short
02/24/23 00:21:28,1655.27,Short
02/24/23 00:22:24,1653.29,Short
02/24/23 00:23:36,1652.71,Short
02/24/23 00:24:31,1652.23,Short
02/24/23 00:25:26,1653.09,Short
02/24/23 00:26:38,1653.29,Short
02/24/23 00:27:35,1651.35,Short
02/24/23 00:28:34,1651.19,Short
02/24/23 00:29:28,1651.01,Short
02/24/23 00:30:25,1650.54,Short
02/24/23 00:31:36,1649.03,Short
02/24/23 00:32:40,1649.67,Short
02/24/23 00:33:36,1648.45,Short
02/24/23 00:34:30,1648.58,Short
02/24/23 00:35:27,1648.92,Short
02/24/23 00:36:38,1649.72,Short
02/24/23 00:37:35,1648.2,Short
02/24/23 00:38:34,1646.48,Short
02/24/23 00:39:32,1647.12,Short
02/24/23 00:40:28,1646.43,Short
02/24/23 00:41:24,1645.6,Short
02/24/23 00:42:36,1646.85,Short
02/24/23 00:43:31,1645.46,Short
02/24/23 00:44:27,1646.27,Short
02/24/23 00:45:38,1647.33,Short
02/24/23 00:46:34,1648.12,Short
02/24/23 00:47:29,1648.31,Short
02/24/23 00:48:23,1648.37,Short
02/24/23 00:49:35,1648.58,Short
02/24/23 00:50:31,1648.79,Short
02/24/23 00:51:30,1648.73,Short
02/24/23 00:52:27,1648.48,Short
02/24/23 00:53:41,1648.7,Short
02/24/23 00:54:37,1649.38,Short
02/24/23 00:55:38,1649.62,Short
02/24/23 00:56:34,1649.83,Short
02/24/23 00:57:27,1650.44,Short
02/24/23 00:58:23,1649.92,Short
02/24/23 00:59:32,1650.72,Short
02/24/23 01:04:33,1655.98,Short
02/24/23 01:05:27,1655.56,Short
02/24/23 01:06:22,1653.38,Short
02/24/23 01:07:35,1655.36,Short
02/24/23 01:08:30,1660.16,Short
02/24/23 01:09:25,1659.29,Short
02/24/23 01:10:36,1660.7,Short
02/24/23 01:11:30,1660.28,Short
02/24/23 01:12:25,1660.27,Short
02/24/23 01:13:36,1658.7,Short
02/24/23 01:14:34,1659.05,Short
02/24/23 01:15:31,1658.66,Short
02/24/23 01:16:29,1658.96,Short
02/24/23 01:17:25,1659.51,Short
02/24/23 01:18:38,1663.36,Short
02/24/23 01:19:34,1661.96,Short
02/24/23 01:20:29,1659.51,Short
02/24/23 01:21:26,1656.92,Short
02/24/23 01:22:37,1657.5,Short
02/24/23 01:25:28,1658.78,Short
02/24/23 01:26:22,1657.18,Short
02/24/23 01:27:35,1658.99,Short
02/24/23 01:28:31,1657.1,Short
02/24/23 01:29:26,1655.99,Short
02/24/23 01:30:37,1656.31,Short
02/24/23 01:31:34,1655.17,Short
02/24/23 01:32:29,1654.13,Short
02/24/23 01:33:26,1654.98,Short
02/24/23 01:34:36,1656.38,Short
02/24/23 01:35:29,1655.55,Short
02/24/23 01:36:26,1655.66,Short
02/24/23 01:37:36,1655.98,Short
02/24/23 01:38:30,1655.22,Short
02/24/23 01:39:26,1655.28,Short
02/24/23 01:40:37,1656.82,Short
02/24/23 01:41:34,1656.37,Short
02/24/23 01:42:29,1657.87,Short
02/24/23 01:43:26,1657.62,Short
02/24/23 01:44:38,1657.81,Short
02/24/23 01:45:34,1657.01,Short
02/24/23 01:46:28,1656.17,Short
02/24/23 01:47:23,1655.89,Short
02/24/23 01:48:34,1656.27,Short
02/24/23 01:49:28,1655.91,Short
02/24/23 01:50:23,1655.8,Short
02/24/23 01:51:32,1655.86,Short
02/24/23 01:52:27,1655.63,Short
02/24/23 01:53:23,1654.84,Short
02/24/23 01:54:36,1654.38,Short
02/24/23 01:55:34,1654.2,Short
02/24/23 01:56:28,1653.85,Short
02/24/23 01:57:23,1653.2,Short
02/24/23 01:58:35,1653.21,Short
02/24/23 01:59:30,1652.39,Short
02/24/23 02:04:29,1652.42,Short
02/24/23 02:05:23,1652.29,Short
02/24/23 02:06:35,1652.49,Short
02/24/23 02:07:30,1652.17,Short
02/24/23 02:08:25,1651.86,Short
02/24/23 02:09:38,1652.58,Short
02/24/23 02:10:35,1652.86,Short
02/24/23 02:11:33,1652.77,Short
02/24/23 02:12:30,1653.08,Short
02/24/23 02:13:28,1653.1,Short
02/24/23 02:14:23,1653.0,Short
02/24/23 02:15:35,1652.7,Short
02/24/23 02:16:31,1652.66,Short
02/24/23 02:17:28,1652.28,Short
02/24/23 02:18:25,1652.83,Short
02/24/23 02:19:36,1652.03,Short
02/24/23 02:20:31,1652.25,Short
02/24/23 02:21:27,1651.57,Short
02/24/23 02:22:23,1650.43,Short
02/24/23 02:23:36,1651.21,Short
02/24/23 02:24:34,1650.99,Short
02/24/23 02:25:28,1650.31,Short
02/24/23 02:26:23,1651.86,Short
02/24/23 02:27:34,1652.56,Short
02/24/23 02:28:29,1653.19,Short
02/24/23 02:29:26,1653.47,Short
02/24/23 02:30:36,1653.18,Short
02/24/23 02:31:30,1652.58,Short
02/24/23 02:32:26,1653.47,Short
02/24/23 02:33:38,1654.5,Short
02/24/23 02:34:38,1654.72,Short
02/24/23 02:35:34,1654.28,Short
02/24/23 02:36:29,1653.52,Short
02/24/23 02:37:25,1653.99,Short
02/24/23 02:38:38,1653.86,Short
02/24/23 02:39:34,1653.14,Short
