time,Open,High,Low,Close,Volume
1611273600000,1111.82,1135.73,1041.13,1124.72,1301990.016
1611280800000,1124.70,1165.00,1115.65,1161.06,535180.970
1611288000000,1161.07,1188.89,1149.00,1175.26,443745.882
1611295200000,1175.28,1179.38,1133.01,1144.37,394647.744
1611302400000,1144.45,1183.67,1113.76,1172.23,451498.737
1611309600000,1172.02,1211.55,1159.00,1198.39,403536.075
1611316800000,1198.39,1229.90,1194.22,1219.81,383291.159
1611324000000,1219.74,1242.00,1219.11,1233.92,326720.698
1611331200000,1233.81,1255.00,1216.00,1234.88,404263.230
1611338400000,1234.84,1273.66,1224.96,1268.24,339427.836
1611345600000,1268.42,1274.52,1240.86,1244.55,243753.604
1611352800000,1244.56,1258.28,1219.10,1234.55,247167.430
1611360000000,1234.54,1242.89,1207.56,1233.81,302479.655
1611367200000,1233.94,1244.08,1211.89,1232.76,217635.257
1611374400000,1232.76,1267.75,1230.00,1264.88,233210.115
1611381600000,1265.10,1270.00,1248.83,1260.37,197677.181
1611388800000,1260.38,1274.00,1250.00,1257.64,268058.534
1611396000000,1257.64,1260.40,1213.14,1220.74,344903.362
1611403200000,1220.78,1240.83,1197.00,1233.14,361288.066
1611410400000,1233.14,1240.67,1216.80,1231.16,218627.368
1611417600000,1231.26,1261.65,1225.05,1254.60,238617.791
1611424800000,1254.75,1266.54,1244.97,1259.75,185173.060
1611432000000,1259.71,1261.83,1230.47,1248.86,195164.536
1611439200000,1248.81,1251.24,1225.35,1235.66,157582.616
1611446400000,1235.65,1249.50,1221.51,1238.35,186048.849
1611453600000,1238.34,1295.35,1235.73,1294.62,304184.743
1611460800000,1294.62,1336.18,1290.50,1328.00,473819.068
1611468000000,1328.00,1334.50,1308.00,1317.49,232809.733
1611475200000,1317.60,1349.33,1312.07,1342.70,300954.717
1611482400000,1342.54,1352.32,1327.20,1344.89,227497.778
1611489600000,1345.00,1350.50,1314.16,1324.14,327372.182
1611496800000,1324.14,1331.49,1300.31,1322.78,250813.752
1611504000000,1322.74,1368.49,1305.20,1359.62,486393.162
1611511200000,1359.54,1362.98,1310.71,1327.96,379355.284
1611518400000,1327.97,1356.00,1326.20,1353.73,212382.942
1611525600000,1353.70,1401.88,1344.00,1394.24,386921.124
1611532800000,1394.23,1481.46,1385.11,1437.00,971854.970
1611540000000,1437.01,1446.80,1422.09,1430.56,297600.708
1611547200000,1430.56,1441.99,1395.00,1441.53,348267.504
1611554400000,1441.52,1446.88,1404.19,1425.79,237078.247
1611561600000,1425.80,1429.87,1385.00,1393.53,359155.790
1611568800000,1393.41,1424.46,1382.80,1413.40,279698.627
1611576000000,1413.58,1446.78,1406.42,1418.65,400780.069
1611583200000,1418.65,1440.00,1401.00,1436.00,285405.840
1611590400000,1436.00,1445.00,1390.00,1401.22,481636.921
1611597600000,1400.75,1407.22,1355.04,1384.69,396730.561
1611604800000,1384.70,1385.68,1312.11,1347.94,561075.277
1611612000000,1348.00,1348.87,1293.00,1318.61,518824.740
1611619200000,1318.53,1379.50,1306.00,1379.15,427891.989
1611626400000,1379.09,1379.09,1297.13,1312.98,424324.909
1611633600000,1312.99,1350.73,1310.74,1339.41,293579.734
1611640800000,1339.40,1339.57,1302.33,1318.45,330651.342
1611648000000,1318.46,1334.97,1294.44,1316.60,347736.319
1611655200000,1316.60,1348.28,1310.13,1314.68,361612.180
1611662400000,1314.68,1320.85,1259.99,1285.60,648734.728
1611669600000,1285.54,1291.34,1244.87,1278.42,497257.412
1611676800000,1279.71,1330.00,1267.66,1329.79,539882.786
1611684000000,1329.80,1353.93,1318.03,1343.08,332686.860
1611691200000,1343.08,1364.71,1330.03,1335.22,322647.588
1611698400000,1335.29,1377.33,1325.09,1368.40,341100.497
1611705600000,1368.48,1377.90,1316.34,1321.93,344993.121
1611712800000,1322.00,1331.59,1301.45,1310.29,237593.289
1611720000000,1310.36,1319.89,1273.34,1284.05,343574.379
1611727200000,1284.06,1311.23,1277.08,1293.43,219942.870
1611734400000,1293.44,1293.69,1249.53,1271.42,472222.359
1611741600000,1271.33,1302.48,1247.29,1249.95,468951.916
1611748800000,1249.97,1279.89,1235.00,1236.00,511637.790
1611756000000,1236.14,1287.35,1206.00,1281.74,825476.913
1611763200000,1282.08,1308.95,1242.13,1258.92,698834.430
1611770400000,1258.66,1281.76,1223.07,1269.67,493847.744
1611777600000,1269.68,1298.59,1259.52,1276.19,353117.156
1611784800000,1276.18,1286.00,1235.11,1238.55,306923.915
1611792000000,1238.55,1267.82,1217.28,1266.32,315155.697
1611799200000,1266.28,1292.00,1264.66,1288.18,227131.418
1611806400000,1288.13,1304.27,1271.22,1302.10,207677.293
1611813600000,1302.11,1326.39,1280.39,1285.56,341820.167
1611820800000,1285.58,1303.66,1265.44,1302.12,254435.750
1611828000000,1302.25,1311.10,1280.63,1303.61,291168.753
1611835200000,1303.94,1344.51,1293.98,1344.16,411096.967
1611842400000,1344.11,1361.25,1332.61,1353.01,462505.078
1611849600000,1353.15,1359.68,1333.30,1339.20,285671.020
1611856800000,1339.13,1346.39,1322.00,1333.87,206424.150
1611864000000,1333.87,1352.85,1325.46,1349.86,206792.859
1611871200000,1349.84,1362.94,1326.05,1329.86,254066.769
1611878400000,1330.28,1378.00,1328.28,1344.81,352533.068
1611885600000,1344.81,1354.36,1311.40,1322.33,232065.978
1611892800000,1322.35,1328.00,1285.46,1304.32,305726.185
1611900000000,1304.31,1320.54,1293.90,1317.59,214416.850
1611907200000,1317.55,1409.44,1295.92,1375.45,1079690.037
1611914400000,1375.33,1436.97,1350.11,1421.87,573844.817
1611921600000,1421.87,1433.82,1402.00,1429.56,334694.704
1611928800000,1429.74,1443.00,1373.94,1398.53,448575.053
1611936000000,1398.53,1411.30,1367.58,1375.40,346781.779
1611943200000,1375.41,1383.46,1314.25,1349.74,468877.115
1611950400000,1349.94,1379.95,1334.13,1372.81,309698.502
1611957600000,1373.00,1413.57,1371.00,1381.99,343360.335
1611964800000,1382.14,1409.35,1366.09,1371.61,267413.259
1611972000000,1371.63,1377.69,1328.00,1344.14,289512.931
1611979200000,1344.16,1355.30,1330.00,1337.28,198711.509
1611986400000,1337.29,1359.00,1328.80,1347.88,199764.930
1611993600000,1347.85,1353.89,1336.89,1347.04,171349.153
1612000800000,1346.91,1357.00,1338.22,1341.46,174176.503
1612008000000,1341.47,1370.15,1331.00,1367.02,188665.345
1612015200000,1367.00,1382.00,1361.51,1372.69,221382.885
1612022400000,1372.69,1379.00,1347.14,1372.73,263806.348
1612029600000,1372.81,1384.50,1365.60,1374.07,114959.964
1612036800000,1374.07,1391.35,1370.00,1386.11,136828.720
1612044000000,1386.07,1394.80,1371.03,1380.48,137465.126
1612051200000,1380.42,1383.70,1362.20,1374.84,143495.875
1612058400000,1374.85,1380.41,1355.00,1359.84,104359.698
1612065600000,1359.84,1367.72,1345.70,1353.04,122844.188
1612072800000,1353.05,1358.00,1342.53,1347.63,121140.601
1612080000000,1347.58,1356.75,1340.60,1342.99,155686.583
1612087200000,1343.01,1360.44,1340.31,1356.23,124982.593
1612094400000,1356.23,1373.53,1345.61,1350.10,201536.873
1612101600000,1350.10,1353.00,1292.50,1311.64,395838.025
1612108800000,1311.59,1321.41,1285.12,1291.01,298976.026
1612116000000,1291.01,1309.00,1281.96,1306.26,165090.423
1612123200000,1305.95,1314.70,1292.55,1295.10,142853.373
1612130400000,1295.09,1322.94,1294.51,1313.12,115094.027
1612137600000,1313.09,1324.20,1270.00,1320.18,328646.284
1612144800000,1320.26,1326.20,1309.10,1318.29,143913.666
1612152000000,1318.29,1331.54,1311.74,1322.00,146082.070
1612159200000,1322.00,1339.91,1302.71,1318.58,227535.209
1612166400000,1318.57,1341.86,1310.00,1330.39,177708.619
1612173600000,1330.39,1348.67,1325.00,1338.73,210860.856
1612180800000,1338.80,1348.12,1326.06,1328.28,157754.595
1612188000000,1328.31,1331.00,1301.53,1302.39,224891.458
1612195200000,1302.29,1323.26,1300.21,1319.35,133353.135
1612202400000,1319.35,1334.99,1317.46,1333.90,111571.547
1612209600000,1333.90,1354.97,1330.38,1352.26,155742.661
1612216800000,1352.28,1379.73,1345.36,1376.48,264124.893
1612224000000,1376.74,1416.54,1371.12,1385.11,409375.673
1612231200000,1385.12,1394.14,1363.00,1371.26,180908.475
1612238400000,1371.27,1398.24,1370.01,1389.10,163434.615
1612245600000,1389.10,1429.00,1389.09,1417.11,331337.625
1612252800000,1417.11,1467.90,1411.00,1440.82,661044.296
1612260000000,1441.01,1452.99,1413.08,1423.21,366743.300
1612267200000,1423.22,1448.00,1411.00,1429.10,311004.663
1612274400000,1429.29,1451.00,1413.61,1428.40,370517.006
1612281600000,1428.40,1508.00,1424.28,1475.99,932777.692
1612288800000,1476.00,1523.59,1470.41,1521.19,410593.551
1612296000000,1521.19,1546.00,1501.68,1521.98,599937.731
1612303200000,1521.99,1551.50,1511.92,1516.26,360681.614
1612310400000,1516.20,1537.91,1515.00,1525.00,246973.278
1612317600000,1525.00,1554.00,1510.76,1542.36,251034.227
1612324800000,1542.36,1565.18,1540.30,1546.82,267275.900
1612332000000,1546.82,1576.50,1545.60,1549.63,271635.753
1612339200000,1549.63,1555.00,1515.50,1534.04,494786.999
1612346400000,1534.03,1564.63,1525.59,1541.60,301545.777
1612353600000,1541.42,1570.00,1525.54,1554.10,376903.074
1612360800000,1554.10,1605.20,1540.41,1601.62,485963.366
1612368000000,1601.68,1646.19,1583.00,1642.75,721590.285
1612375200000,1642.84,1656.36,1620.00,1620.59,438127.526
1612382400000,1620.60,1649.59,1605.97,1635.39,286784.386
1612389600000,1635.38,1672.76,1632.00,1666.00,265140.153
1612396800000,1666.10,1703.37,1664.40,1696.44,417055.458
1612404000000,1696.71,1701.57,1635.50,1648.88,472681.801
